código,NOME,ESCALAS:
72,0070 SEG A SEX 09:00 AS 18:00 SAB 09:00 AS 13:00,0070 SEG A SEX 09:00 AS 18:00 SAB 09:00 AS 13:00
73,0071PA 12X36 DAS 12:00:00 AS 00:00:00,0071PA 12X36 DAS 12:00:00 AS 00:00:00
74,0072 SEG A QUIN 07:30 AS 18:00 SEX 07:30:00 AS 17:00:00.,0072 SEG A QUIN 07:30 AS 18:00 SEX 07:30:00 AS 17:00:00.
75,0073 12X36 18:00 AS 06:00.,0073 12X36 18:00 AS 06:00.
76,0074PA SEG A SEX 05:00 AS 14:00 SAB 05:00 AS 09:00,0074PA SEG A SEX 05:00 AS 14:00 SAB 05:00 AS 09:00
77,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00,00001 SEG A QUIN 08:00 AS 18:00 SEX 08:00:00 AS 17:00:00
78,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00,0002 SEG A SEX 08:00 AS 17:00 E SAB 08:00 AS 12:00
79,0003 SEG A SEX 08:00 AS 17:00,0003 SEG A SEX 08:00 AS 17:00
80,0004PA SEG A SEX 11:00 AS 20:00 RECIFE,0004PA SEG A SEX 11:00 AS 20:00 RECIFE
81,0005 SEG A SEX 20:00 AS 05:00:48,0005 SEG A SEX 20:00 AS 05:00:48
82,0006 12X36 DIURNO,0006 12X36 DIURNO
83,0007 12X36 NOTURNO,0007 12X36 NOTURNO
84,0008PA SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00,0008PA SEG A QUI 12:00 AS 22:00 SEX 12:00 AS 21:00
85,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00,0009 SEG QUI 07:00 AS 17:00 / SEX 07:00 AS 16:00
86,0010PA SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00,0010PA SEG A QUI 10:00 AS 20:00 SEX 10:00 AS 19:00
87,0011PA SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00,0011PA SEG A QUI 09:00 AS 19:00 SEX DAS 09:00 AS 18:00
88,0013PA SEG A SAB DAS 13:40 AS 20:00,0013PA SEG A SAB DAS 13:40 AS 20:00
89,0014PA SEG A SAB DAS 15:40 AS 22:00,0014PA SEG A SAB DAS 15:40 AS 22:00
90,0015PA SEG A QUI 06:00 AS 16:00 SEX 06:00 AS 15:00,0015PA SEG A QUI 06:00 AS 16:00 SEX 06:00 AS 15:00
91,0016 SEG A SEX 07:00 AS 17:00,0016 SEG A SEX 07:00 AS 17:00
92,0017PA SEG A SEX DAS 14:00 AS 22:00,0017PA SEG A SEX DAS 14:00 AS 22:00
93,0018 SEG A SEX DAS 22:00 AS 06:00,0018 SEG A SEX DAS 22:00 AS 06:00
94,0020PA SEG A SEX DAS 09:00 AS 16:00 COPIA,0020PA SEG A SEX DAS 09:00 AS 16:00 COPIA
95,0021 SEG/QUI 07:00 AS 17:00 HS,0021 SEG/QUI 07:00 AS 17:00 HS
96,0022 SEG QUI 07:00 AS 17:00 | SEX 07:00 AS 16:00,0022 SEG QUI 07:00 AS 17:00 | SEX 07:00 AS 16:00
97,0023PA SEG A QUIN 12:00 AS 22:00 SEX 12:00 AS 21:00,0023PA SEG A QUIN 12:00 AS 22:00 SEX 12:00 AS 21:00
98,0024PA SEG A QUIN DAS 06:00 AS 16:00 SEX DAS 06:00 AS 15:00 H,0024PA SEG A QUIN DAS 06:00 AS 16:00 SEX DAS 06:00 AS 15:00 H
99,0025PA SEG A SAB 09:00 AS 15:00:20,0025PA SEG A SAB 09:00 AS 15:00:20
100,0026 7:00 11:00 / 13:00 17:00,0026 7:00 11:00 / 13:00 17:00
101,0027PA SEG A SEX 07:30 AS 16:00:30 SAB 08:00 AS 12:00,0027PA SEG A SEX 07:30 AS 16:00:30 SAB 08:00 AS 12:00
102,0028 SEG A SEX 07:00 AS 16:00 SAB 08:00 AS 12:00,0028 SEG A SEX 07:00 AS 16:00 SAB 08:00 AS 12:00
103,0029PA SEG A SEX 09:00 AS 18:00 SAB 08:00 AS 12:00,0029PA SEG A SEX 09:00 AS 18:00 SAB 08:00 AS 12:00
104,0031 SEG A SEX 13:00 AS 22:00,0031 SEG A SEX 13:00 AS 22:00
